benchmark,split,raw_split,review_id,study_id,normalized_label,has_title,has_abstract,has_abstract_text,has_full_text,source_file,reviews_metadata_file,review_metadata_present,blocker_status,blocker_reasons,abstract_only_available,abstract_only_reasons,full_text_only_available,full_text_only_reasons,abstract_plus_full_text_available,abstract_plus_full_text_reasons
csmed_ft,dev,dev,CD010254,CD010254-bib-0015,include,true,true,true,true,data/CSMeD-FT/CSMeD-FT-dev.csv,data/CSMeD-FT/CSMeD-FT-dev_reviews_metadata.json,true,ready,,true,,true,,true,
csmed_ft,dev,dev,CD010254,CD010254-bib-0053,include,true,true,true,true,data/CSMeD-FT/CSMeD-FT-dev.csv,data/CSMeD-FT/CSMeD-FT-dev_reviews_metadata.json,true,ready,,true,,true,,true,
csmed_ft,dev,dev,CD010254,CD010254-bib-0092,include,true,true,true,true,data/CSMeD-FT/CSMeD-FT-dev.csv,data/CSMeD-FT/CSMeD-FT-dev_reviews_metadata.json,true,ready,,true,,true,,true,
csmed_ft,dev,dev,CD010254,CD010254-bib-0051,include,true,true,true,true,data/CSMeD-FT/CSMeD-FT-dev.csv,data/CSMeD-FT/CSMeD-FT-dev_reviews_metadata.json,true,ready,,true,,true,,true,
csmed_ft,dev,dev,CD010254,CD010254-bib-0156,include,true,true,true,true,data/CSMeD-FT/CSMeD-FT-dev.csv,data/CSMeD-FT/CSMeD-FT-dev_reviews_metadata.json,true,ready,,true,,true,,true,
csmed_ft,dev,dev,CD010254,CD010254-bib-0216,include,true,true,true,true,data/CSMeD-FT/CSMeD-FT-dev.csv,data/CSMeD-FT/CSMeD-FT-dev_reviews_metadata.json,true,ready,,true,,true,,true,
csmed_ft,dev,dev,CD010254,CD010254-bib-0142,include,true,true,true,true,data/CSMeD-FT/CSMeD-FT-dev.csv,data/CSMeD-FT/CSMeD-FT-dev_reviews_metadata.json,true,ready,,true,,true,,true,
csmed_ft,dev,dev,CD010254,CD010254-bib-0118,include,true,true,true,true,data/CSMeD-FT/CSMeD-FT-dev.csv,data/CSMeD-FT/CSMeD-FT-dev_reviews_metadata.json,true,ready,,true,,true,,true,
csmed_ft,dev,dev,CD010254,CD010254-bib-0145,include,true,true,true,true,data/CSMeD-FT/CSMeD-FT-dev.csv,data/CSMeD-FT/CSMeD-FT-dev_reviews_metadata.json,true,ready,,true,,true,,true,
csmed_ft,dev,dev,CD010254,CD010254-bib-0062,include,true,false,true,true,data/CSMeD-FT/CSMeD-FT-dev.csv,data/CSMeD-FT/CSMeD-FT-dev_reviews_metadata.json,true,ready,,true,,true,,true,
csmed_ft,dev,dev,CD010254,CD010254-bib-0171,include,true,true,true,true,data/CSMeD-FT/CSMeD-FT-dev.csv,data/CSMeD-FT/CSMeD-FT-dev_reviews_metadata.json,true,ready,,true,,true,,true,
